Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_073600,Arthrobacter phage Yavru,RefSeq,GCF_015044965.1,"Ulker,M., Siddiqui,F.A., Anastasi,R.E., Conroy,D.J., Edwards,E.G., Gerton,T.J., Laizure,I.E., Reynolds,J.D., Ouellette,S.K., Duggan,K.O., Johnson,K.C., MacLea,K.S., Gurney,S.M.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/18/23,,Arthrobacter phage Yavru,15193,complete,"USA: Bedford, NH",NH,Arthrobacter globiformis,,9/9/19
NC_073476,Curtobacterium phage Pize,RefSeq,GCF_023898905.1,"Alanin,K.W.S., Djurhuus,A.M., Olsen,N.S., Carstens,A.B., Nielsen,T.K., Kot,W., Hansen,L.H.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Curtobacterium phage Pize,18290,complete,Denmark,,Curtobacterium sp.,,12/8/20
NC_073477,Curtobacterium phage Reje,RefSeq,GCF_023898915.1,"Alanin,K.W.S., Djurhuus,A.M., Olsen,N.S., Carstens,A.B., Nielsen,T.K., Kot,W., Hansen,L.H.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Curtobacterium phage Reje,17554,complete,Denmark,,Curtobacterium sp.,,12/8/20
NC_073478,Bifidobacterium phage BD811P2,RefSeq,GCF_027572855.1,"Shen,J.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Bifidobacterium phage BD811P2,17827,complete,,,Bifidobacterium dentium,,
NC_073479,Glutamicibacter phage Voltaire,RefSeq,GCF_927798495.1,"Paillet,T., Lossouarn,J., Dugat-Bony,E.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Glutamicibacter phage Voltaire,18418,complete,,,Glutamicibacter arilaitensis,,
NC_073480,Rhizobium phage RHph_N3_8,RefSeq,GCF_016835825.1,"Vann Cauwenberghe,J., Santamaria,R.I., Bustos,P., Juarez,S., Gonzalez,V.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Rhizobium phage RHph_N3_8,18277,complete,Argentina: Chicoana,,Rhizobium,,10/6/16
NC_073481,Clostridium phage CI461P1,RefSeq,GCF_027573515.1,"Shen,J.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Clostridium phage CI461P1,14601,complete,,,Clostridium,feces,
NC_073482,Clostridium phage CI55P1,RefSeq,GCF_027573485.1,"Shen,J.","National Center for Biotechnology Information, NIH",USA,4/16/23,,Clostridium phage CI55P1,14205,complete,,,Clostridium,,
NC_073466,Microbacterium phage OscarSo,RefSeq,GCF_025887455.1,"Washington,J.M., Situmorang,M.A., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/15/23,,Microbacterium phage OscarSo,33432,complete,"USA: Nyack, NY",NY,Microbacterium radiodurans,,9/15/19
NC_073467,Microbacterium phage PineapplePizza,RefSeq,GCF_024752655.1,"Butura,J., LaBianca,K., McKnight,A., Pan,K., Whelan,S., Laramee,A., Rocheleau,J.M., Chien,P., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/15/23,,Microbacterium phage PineapplePizza,16662,complete,"USA: Amherst, MA",MA,Microbacterium foliorum,,10/1/20
NC_071052,Streptococcus phage SW27,RefSeq,GCF_003925465.1,"Lavelle,K., Martinez,I., Neve,H., Lugli,G., Franz,C., Ventura,M., Bello,F., Sinderen,D., Mahony,J., Van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,2/1/23,,Vansinderenvirus SW27,33953,complete,,,Streptococcus thermophilus,,
NC_071053,Streptococcus phage CHPC1198,RefSeq,GCF_015644835.1,"Szymczak,P., Vogensen,F.K., Janzen,T.","National Center for Biotechnology Information, NIH",USA,2/1/23,,Vansinderenvirus CHPC1198,33245,complete,USA,,Streptococcus thermophilus,,2011
NC_071055,Streptococcus phage SW24,RefSeq,GCF_003925765.1,"Lavelle,K., Martinez,I., Neve,H., Lugli,G., Franz,C., Ventura,M., Bello,F., Sinderen,D., Mahony,J., Van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,2/1/23,,Vansinderenvirus SW24,32092,complete,,,Streptococcus thermophilus,,
NC_071057,Streptococcus phage CHPC1151,RefSeq,GCF_002615045.1,"Szymczak,P., Janzen,T., Neves,A.R., Kot,W., Hansen,L.H., Lametsch,R., Neve,H., Franz,C.M., Vogensen,F.K., Franz,C.M.A.P.","National Center for Biotechnology Information, NIH",USA,2/1/23,,Vansinderenvirus CHPC1232,33507,complete,Italy,,Streptococcus thermophilus,,
NC_071062,Streptococcus phage CHPC1109,RefSeq,GCF_003866895.1,"Szymczak,P., Rau,M.H., Monteiro,J.M., de Pinho,M.G., Filipe,S.R., Vogensen,F.K., Zeidan,A., Janzen,T.","National Center for Biotechnology Information, NIH",USA,2/1/23,,Brussowvirus CHPC1109,33791,complete,,,Streptococcus thermophilus,,
NC_070696,Streptococcus phage P7133,RefSeq,GCF_002621565.1,"McDonnell,B., Mahony,J., Hanemaaijer,L., Neve,H., Noben,J.P., Lugli,G.A., Ventura,M., Kouwen,T.R., van Sinderen,D., Noben,J.-P., Kouwen,T.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Moineauvirus P7133,33284,complete,,,Streptococcus thermophilus,,
NC_070722,Streptococcus phage SW8,RefSeq,GCF_003925145.1,"Lavelle,K., Martinez,I., Neve,H., Lugli,G., Franz,C., Ventura,M., Bello,F., Sinderen,D., Mahony,J., Van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Moineauvirus SW8,33930,complete,,,Streptococcus thermophilus,,
NC_070766,Arthrobacter phage Adaia,RefSeq,GCF_003691915.1,"Fryberger,R.B., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Adaiavirus adaia,15840,complete,"USA: Saylorsburg, PA",PA,Paeniglutamicibacter sulfureus,,6/1/17
NC_070767,Arthrobacter phage Atraxa,RefSeq,GCF_003691955.1,"Fryberger,R.B., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Atraxavirus atraxa,14927,complete,"USA: Saylorsburg, PA",PA,Paeniglutamicibacter sulfureus,,6/1/17
NC_070878,Staphylococcus phage JPL-50,RefSeq,GCF_019095865.1,"Xu,H.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Rosenblumvirus jpl50,16927,complete,China,,Staphylococcus aureus,,
NC_070879,Staphylococcus phage BESEP3,RefSeq,GCF_020497735.1,"Cameron,D.R.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Andhravirus besep3,18271,complete,Switzerland,,Staphylococcus epidermidis,,2019
NC_070880,Staphylococcus phage SeAlphi,RefSeq,GCF_020474865.1,"Gelman,D., Yosef,A., Alkalay-Oren,S., Coppenhagen-Glazer,S., Hazan,R.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Andhravirus sealphi,18292,complete,Israel,,Staphylococcus epidermidis,,
NC_070898,Streptococcus phage SW22,RefSeq,GCF_003925385.1,"Lavelle,K., Martinez,I., Neve,H., Lugli,G., Franz,C., Ventura,M., Bello,F., Sinderen,D., Mahony,J., Van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Piorkowskivirus SW22,31738,complete,,,Streptococcus thermophilus,,
NC_070899,Streptococcus phage SW16,RefSeq,GCF_003925005.1,"Lavelle,K., Martinez,I., Neve,H., Lugli,G., Franz,C., Ventura,M., Bello,F., Sinderen,D., Mahony,J., Van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Piorkowskivirus SW16,32106,complete,,,Streptococcus thermophilus,,
NC_070900,Streptococcus phage CHPC926,RefSeq,GCF_002615025.1,"Szymczak,P., Janzen,T., Neves,A.R., Kot,W., Hansen,L.H., Lametsch,R., Neve,H., Franz,C.M., Vogensen,F.K., Franz,C.M.A.P.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Piorkowskivirus CHPC926,30077,complete,France,,Streptococcus thermophilus,,
NC_070902,Escherichia phage 11W,RefSeq,GCF_022516635.1,"Berryhill,B., Garcia,R., McCall,I., Petit,M.-A., Chaudhry,W., Levin,B.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Peduovirus 11W,31564,complete,USA,,Escherichia coli,,12/20/20
NC_070903,Escherichia phage P2_AC1,RefSeq,GCF_922089135.1,"Bikard,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Escherichia phage P2_AC1,33349,complete,,,Escherichia,,
NC_070904,Peduovirus P2,RefSeq,GCF_917043915.1,"Bikard,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Peduovirus P2,33562,complete,,,,,
NC_070905,Peduovirus P2,RefSeq,GCF_917046035.1,"Bikard,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Peduovirus P2,32541,complete,,,,,
NC_070906,Peduovirus P2,RefSeq,GCF_917046065.1,"Bikard,D.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Peduovirus P2,31490,complete,,,,,
NC_070907,Yersinia phage P37,RefSeq,GCF_020473255.1,"Shen,X., Li,W.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Peduovirus P37,33007,complete,China,,Yersinia pestis EV76-CN,,
NC_070908,Yersinia phage HQ103,RefSeq,GCF_020475355.1,"Yang,L.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Peduovirus HQ103,31962,complete,China,,Yersinia pestis EV76-CN,,2017-12
NC_070909,Escherichia phage Cartapus,RefSeq,GCF_927798185.1,"Misson,P., Cornuault K,J., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Elveevirus cartapus,33368,complete,,,Escherichia coli LF82,,
NC_070910,Burkholderia phage FLC10,RefSeq,GCF_021355115.1,"Kanaizuka,A., Sasaki,R., Miyashita,S., Ando,S., Takahashi,H.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Kisquattuordecimvirus FLC10,32867,complete,Japan: Sendai,,Burkholderia glumae,,4/10/21
NC_070911,Salmonella phage BIS20,RefSeq,GCF_020484605.1,"Sattar,S., Altermann,E., Bailie,M., Khanum,S.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Eganvirus BIS20,29512,complete,Pakistan,,Salmonella enterica,,2016
NC_070914,Yersinia phage vB_YenM_201.16,RefSeq,GCF_022604805.1,"Hammerl,J.A., Hertwig,S.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Duonihilunusvirus YenM20116,30280,complete,Germany,,Yersinia enterocolitica,,2020
NC_070915,Yersinia phage vB_YenM_56.17,RefSeq,GCF_022604865.1,"Hammerl,J.A., Hertwig,S.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Duonihilunusvirus YenM5617,33247,complete,Germany,,Yersinia enterocolitica,,2020
NC_070916,Yersinia phage vB_YenM_06.16-2,RefSeq,GCF_022604795.1,"Hammerl,J.A., Hertwig,S.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Duonihilunusvirus YenM06162,29546,complete,Germany,,Yersinia enterocolitica,,2020
NC_070917,Yersinia phage vB_YenM_324,RefSeq,GCF_022343375.1,"Hammerl,J.A., Hertwig,S.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Tresduoquattuorvirus YenM324,29180,complete,Germany,,Yersinia enterocolitica,,2020
NC_070918,Yersinia phage vB_YenM_31.17,RefSeq,GCF_022213605.1,"Hammerl,J.A., Hertwig,S.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Graikaemvirus YenM324,32949,complete,Germany,,Yersinia enterocolitica,,2020
NC_070972,Clostridium phage LPCPA6,RefSeq,GCF_022818275.1,"Li,J.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Hzauvirus LPCPA6,18554,complete,China,,Clostridium perfringens,,2021
NC_070994,Gordonia phage Coeur,RefSeq,GCF_006530135.1,"Alwine,J.A., Grubb,S.R., Haszto,C.S., Molleti,L.S., Simms,M.O., Butela,K.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Coeurvirus coeur,16223,complete,"USA: Pittsburgh, PA",PA,Gordonia terrae,,10/1/16
NC_070995,Gordonia phage Emperor,RefSeq,GCF_003307715.1,"Harrington,T., Washburn,E., Bricker,J., McKinney,A., Betsko,A.J., Garlena,R.A., Russell,D.A., Pope,W.A., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Emperorvirus emperor,16604,complete,"USA: Pittsburgh, PA",PA,Gordonia terrae,,5/1/16
NC_070996,Gordonia phage SallySpecial,RefSeq,GCF_002997425.1,"Charlebois,C., Johnson,I., Petterson,W., Silknitter,K., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Emperorvirus sallyspecial,15896,complete,"USA: Orono, ME",ME,Gordonia terrae,,9/9/16
NC_070997,Gordonia phage EricDab,RefSeq,GCF_004800285.1,"Fakhre,F., Gonzalez,R.M., Howells,E.K., Otero,L.A., Pegoraro,K.N., Robichaux,K.C., Rodier,A., Sadowski,C.L., Carter,V.P., Gray,A.D., Klein,G.C., Lebosada,C., Miklaszewski,C.M., Sutton,S.N., Pollenz,R.S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Ericdabvirus ericdab,16658,complete,"USA: Tampa, FL",FL,Gordonia neofelifaecis,,5/1/18
NC_071002,Enterococcus phage MDA1,RefSeq,GCF_020496995.1,"El Haddad,L., Clark,J.R., Terwilliger,A.L., Harb,C.P., Chaftari,C., Duna,M., Yussef,S., Stibich,M., Maresso,A., Chemaly,R.F.","National Center for Biotechnology Information, NIH",USA,1/31/23,,Copernicusvirus mda1,18058,complete,USA,,Enterococcus faecium,,2019-02
NC_055722,Burkholderia phage FLC5,RefSeq,GCF_014488745.1,"Sasaki,R., Miyashita,S., Ando,S., Ito,K., Tada,C., Fukuhara,T., Kormelink,R., Takahashi,H.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Kisquattuordecimvirus FLC5,32090,complete,"Japan: Miyagi, Sendai, Aramaki-Aza-Aoba",,Burkholderia glumae,,2/21/20
NC_055729,Uncultured Caudovirales phage clone 2F_1,RefSeq,GCF_003715125.1,"van Zyl,L.J., Abrahams,Y., Stander,E.A., Kirby,B.M., Clavaud,C., Farcet,C., Breton,L., Trindade,M.I.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Bracchivirus U2F1,32618,complete,,,,,
NC_055802,Staphylococcus phage SA46-CL1,RefSeq,GCF_013202155.1,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Rosenblumvirus SA46CL1,17508,complete,Japan,,Staphylococcus aureus,,2017
NC_055814,Staphylococcus phage Portland,RefSeq,GCF_008947325.1,"Bonasera,R.M., Korn,A., Newkirk,H., O'Leary,C., Gill,J., Liu,M.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Rosenblumvirus EBHT,17711,complete,USA: KS,KS,Staphylococcus aureus,,2015
NC_055844,Yersinia phage vB_YpM_22,RefSeq,GCF_013267945.1,"Zhao,X.Z.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Peduovirus YPM22,31809,complete,,,Yersinia pestis EV76-CN,,
NC_055845,Yersinia phage vB_YpM_46,RefSeq,GCF_013267975.1,"Zhao,X.Z.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Peduovirus YPM46,32336,complete,,,Yersinia pestis EV76-CN,,
NC_055846,Yersinia phage vB_YpM_50,RefSeq,GCF_013267995.1,"Zhao,X.Z.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Peduovirus YPM50,31096,complete,,,Yersinia pestis EV76-CN,,
NC_055866,Enterococcus phage AE4_17,RefSeq,GCF_014824285.1,"El-Telbany,M., El-Didamony,G., Askora,A., El-Shibiny,A., Ariny,E., Connerton,I.F., Abudalla,D.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Copernicusvirus AE417,18477,complete,Egypt,,Enterococcus faecalis,,
NC_055905,Bacillus phage Baseball_field,RefSeq,GCF_014824185.1,"Greguske,E.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Claudivirus baseballfield,26863,complete,USA,,Bacillus thuringiensis serovar kurstaki,,10/1/15
NC_055906,Staphylococcus phage vB_SauP_EBHT,RefSeq,GCF_014892865.1,"Sabirova,J.S., Letzel,S., Boedecker,C., Musken,M., Knierim,D., Kiljunen,S., Rhode,C., Wittmann,J.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Rosenblumvirus PSa3,17471,complete,Germany,,Staphylococcus aureus,,
NC_055908,Bacillus phage DLc1,RefSeq,GCF_015161355.1,"Li,C., Ding,Y., Wu,Q.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Huangshavirus dlcuna,28950,complete,China,,Bacillus cereus,,
NC_055914,Bacillus phage Thornton,RefSeq,GCF_016653765.1,"Ismail,A., Veeramachaneni,S., Freeman,H., Crow,L., Johnson,A.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Claudivirus thornton,26319,complete,"USA: Richmond, VA",VA,Bacillus thuringiensis serovar kurstaki,,8/28/17
NC_055916,Staphylococcus phage LSA2366,RefSeq,GCF_016673595.1,"Liu,A.A., Ma,F.F.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Rosenblumvirus LSA2366,17056,complete,,,Staphylococcus aureus,,
NC_055917,Bacillus phage WhyPhy,RefSeq,GCF_016673615.2,"Brown,N.J., Benedetto,N.J., Temple,L.M.","National Center for Biotechnology Information, NIH",USA,6/2/21,,Bundooravirus whyphy,18642,complete,USA,,Bacillus pumilus SAFR-032,,9/1/14
NC_054986,Leuconostoc phage LDG,RefSeq,GCF_002613305.1,"Pujato,S.A., Guglielmotti,D.M., Martinez-Garcia,M., Quiberoni,A., Mojica,F.J.M., Mojica,F.J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Limdunavirus LDG,26559,complete,,,Leuconostoc pseudomesenteroides,,
NC_054987,Leuconostoc phage P965,RefSeq,GCF_009685725.1,"Brinks,E.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Limdunavirus P965,26526,complete,,,Leuconostoc pseudomesenteroides,,
NC_054988,Leuconostoc phage Ln-7,RefSeq,GCF_002613665.1,"Pujato,S.A., Guglielmotti,D.M., Martinez-Garcia,M., Quiberoni,A., Mojica,F.J.M., Mojica,F.J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Unaquatrovirus Ln7,28093,complete,Argentina,,Leuconostoc mesenteroides,,
NC_054990,Lactococcus phage 05802,RefSeq,GCF_003314955.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv05802,22434,complete,,,Lactococcus lactis,,
NC_054991,Lactococcus phage 20R03M,RefSeq,GCF_005892565.1,"Hayes,S.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv20R03M,21750,complete,,,Lactococcus lactis,,
NC_054992,Lactococcus phage 37203,RefSeq,GCF_003314875.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv37203,22029,complete,,,Lactococcus lactis,,
NC_054993,Lactococcus phage 50102,RefSeq,GCF_003314935.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv50102,22242,complete,,,Lactococcus lactis,,
NC_054994,Lactococcus phage 50504,RefSeq,GCF_003314915.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv50504,21562,complete,,,Lactococcus lactis,,
NC_054995,Lactococcus phage 5171F,RefSeq,GCF_009745255.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv5171F,21078,complete,,,Lactococcus lactis,,
NC_054996,Lactococcus phage 62402,RefSeq,GCF_003314835.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv62402,21980,complete,,,Lactococcus lactis,,
NC_054997,Lactococcus phage 62403,RefSeq,GCF_003314855.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv62403,21704,complete,,,Lactococcus lactis,,
NC_054998,Lactococcus phage 62606,RefSeq,GCF_003314815.1,"Oliveira,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus cv62606,22185,complete,,,Lactococcus lactis,,
NC_054999,Lactococcus phage vB_LLc_bIBB14,RefSeq,GCF_011022365.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus bIBB14,21710,complete,,,Lactococcus,,
NC_055000,Lactococcus phage vB_Llc_bIBBA3,RefSeq,GCF_011022405.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus bIBBA3,21906,complete,,,Lactococcus lactis,,
NC_055001,Lactococcus phage vB_Llc_bIBBAm4,RefSeq,GCF_011022415.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus bIBBAm4,22703,complete,,,Lactococcus,,
NC_055002,Lactococcus phage vB_Llc_bIBBE1,RefSeq,GCF_011022435.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus bIBBE1,21749,complete,,,Lactococcus lactis,,
NC_055003,Lactococcus phage vB_Llc_bIBBL12,RefSeq,GCF_011022375.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus bIBBL12,21458,complete,,,Lactococcus,,
NC_055004,Lactococcus phage vB_Llc_bIBBp6/4,RefSeq,GCF_011022455.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus bIBBp64,22220,complete,,,Lactococcus lactis,,
